room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,7,1.0,173.0,1,40.762099,-73.996022,2014-10-18 19:13:01.822
2515,2758,Private room,Manhattan,Harlem,104,4.5,2,1.0,69.0,2,40.799205,-73.953676,2014-10-19 13:36:53.885
2684,2965,Private room,Manhattan,Upper West Side,1,5.0,2,1.0,151.0,1,40.792353,-73.967807,2014-10-18 20:59:38.016
2993,3352,Entire home/apt,Manhattan,Lower East Side,2,4.5,2,1.0,174.0,5,40.723593,-73.991188,2014-10-19 10:34:17.629
3330,4177,Private room,Brooklyn,Williamsburg,10,5.0,2,1.0,145.0,3,40.708558,-73.942362,2014-10-18 09:29:38.433
3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,46,4.5,3,1.0,103.0,1,40.6783,-73.944627,2014-10-18 19:02:39.349
3831,4869,Private room,Brooklyn,Clinton Hill,1,5.0,3,1.0,116.0,1,40.685138,-73.959757,2014-10-19 16:41:58.993
4573,5871,Entire home/apt,Brooklyn,Crown Heights,4,4.5,6,2.0,209.0,3,40.674376,-73.93399,2014-10-19 14:22:58.949
4787,6459,Entire home/apt,Manhattan,West Village,11,4.0,5,2.0,250.0,3,40.734019,-74.000305,2014-10-19 10:45:06.618
4989,7118,Entire home/apt,Manhattan,Hell's Kitchen,13,4.5,3,1.0,232.0,2,40.7626,-73.993045,2014-10-18 21:06:48.259
5030,7201,Entire home/apt,Manhattan,Upper East Side,99,4.5,4,1.0,134.0,2,40.781098,-73.952188,2014-10-19 09:37:10.339
5044,7222,Entire home/apt,Manhattan,East Village,28,5.0,4,1.0,203.0,3,40.726353,-73.989371,2014-10-19 10:51:27.823
5079,7286,Entire home/apt,Manhattan,Harlem,162,5.0,4,2.0,267.0,3,40.813613,-73.945896,2014-10-19 13:57:02.249
5099,7322,Entire home/apt,Manhattan,Murray Hill,38,4.5,2,1.0,232.0,1,40.747714,-73.975149,2014-10-19 15:38:35.181
5107,7332,Entire home/apt,Brooklyn,Bedford-Stuyvesant,43,5.0,8,2.0,290.0,3,40.69299,-73.957232,2014-10-19 16:20:09.476
5110,7337,Entire home/apt,Manhattan,Lower East Side,30,4.5,2,1.0,200.0,3,40.713942,-73.981839,2014-10-19 16:37:31.303
5121,7356,Private room,Brooklyn,Bedford-Stuyvesant,37,4.5,2,1.0,58.0,2,40.686882,-73.955957,2014-10-18 09:24:53.253
5135,7380,Private room,Manhattan,Harlem,205,5.0,4,1.0,103.0,1,40.818028,-73.947449,2014-10-18 10:48:12.698
5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5.0,4,3.0,289.0,4,40.661197,-73.994227,2014-10-18 10:53:18.582
5172,7386,Entire home/apt,Manhattan,Murray Hill,41,4.5,2,1.0,150.0,5,40.744958,-73.974201,2014-10-18 14:29:04.882
5178,8967,Private room,Manhattan,Midtown,196,4.5,2,1.0,85.0,1,40.764681,-73.983154,2014-10-18 15:02:45.828
5203,7490,Private room,Manhattan,Upper West Side,93,5.0,1,1.0,92.0,2,40.801779,-73.967229,2014-10-18 17:15:55.353
5216,7510,Entire home/apt,Manhattan,Flatiron District,28,4.0,4,2.0,220.0,2,40.743572,-73.989987,2014-10-18 18:27:35.346
5222,7516,Entire home/apt,Manhattan,East Village,92,5.0,2,1.0,168.0,10,40.727637,-73.979488,2014-10-18 18:58:34.512
5238,7549,Entire home/apt,Manhattan,Chinatown,86,4.5,3,1.0,168.0,1,40.713444,-73.990375,2014-10-18 20:24:59.220
5258,7611,Entire home/apt,Brooklyn,Williamsburg,42,5.0,2,1.0,156.0,2,40.710302,-73.964961,2014-10-18 22:22:19.945
5270,7626,Entire home/apt,Manhattan,Lower East Side,118,4.5,3,1.0,116.0,2,40.717605,-73.986643,2014-10-18 23:39:10.307
5295,7702,Entire home/apt,Manhattan,Upper West Side,27,4.5,2,1.0,157.0,2,40.803158,-73.965446,2014-10-19 10:24:30.868
5316,7746,Private room,Manhattan,Tribeca,4,4.5,1,1.0,105.0,2,40.719354,-74.009209,2014-10-19 12:13:01.766
5441,7989,Private room,Manhattan,Hell's Kitchen,49,5.0,2,1.0,156.0,3,40.76076,-73.988667,2014-10-18 15:40:43.788
6171,12712,Entire home/apt,Manhattan,Lower East Side,122,4.5,3,1.0,185.0,1,40.720735,-73.982107,2014-10-18 11:53:55.227
5489,8178,Entire home/apt,Brooklyn,South Slope,177,4.5,4,2.0,168.0,1,40.669349,-73.987054,2014-10-18 19:59:50.235
5552,8380,Entire home/apt,Manhattan,West Village,48,5.0,2,1.0,227.0,1,40.736491,-74.010575,2014-10-19 10:29:24.005
5803,9744,Private room,Brooklyn,South Slope,105,4.5,2,1.0,107.0,4,40.66829,-73.987791,2014-10-19 10:03:27.583
5818,2845,Private room,Manhattan,Hell's Kitchen,43,4.5,2,1.0,227.0,1,40.765304,-73.985214,2014-10-19 11:21:28.818
5862,2845,Entire home/apt,Manhattan,Hell's Kitchen,28,4.5,5,2.0,552.0,1,40.767376,-73.986467,2014-10-19 15:09:28.928
5945,4267,Private room,Manhattan,Upper West Side,60,4.5,2,1.0,139.0,1,40.791046,-73.974345,2014-10-18 14:57:11.918
5947,10889,Entire home/apt,Brooklyn,Williamsburg,100,5.0,4,2.0,290.0,2,40.719935,-73.961969,2014-10-18 15:07:17.725
6011,11481,Entire home/apt,Brooklyn,Gowanus,98,4.5,4,1.0,191.0,3,40.670615,-73.991445,2014-10-18 20:54:13.875
6103,5871,Entire home/apt,Brooklyn,Crown Heights,7,4.5,6,2.0,209.0,4,40.674522,-73.941096,2014-10-19 13:57:08.354
6111,12169,Private room,Brooklyn,Greenpoint,78,4.5,2,1.0,150.0,2,40.719211,-73.951231,2014-10-19 14:32:30.865
6177,2845,Private room,Manhattan,Hell's Kitchen,3,4.5,2,1.0,261.0,1,40.765062,-73.986386,2014-10-18 12:35:57.273
6288,13341,Private room,Manhattan,Kips Bay,34,5.0,2,1.0,197.0,4,40.739482,-73.983757,2014-10-18 23:04:17.855
6365,13654,Private room,Manhattan,Harlem,10,4.0,2,1.0,87.0,1,40.810858,-73.941656,2014-10-19 14:23:18.463
6436,14063,Entire home/apt,Brooklyn,Williamsburg,16,5.0,4,1.0,127.0,2,40.711308,-73.953555,2014-10-18 12:52:44.844
6775,7351,Private room,Brooklyn,Clinton Hill,34,4.5,4,1.0,86.0,2,40.684262,-73.964639,2014-10-18 20:31:23.516
6990,16800,Private room,Manhattan,East Harlem,131,5.0,1,1.0,110.0,4,40.789624,-73.94802,2014-10-18 16:48:11.481
7036,53179,Private room,Brooklyn,Kensington,4,5.0,2,1.0,81.0,3,40.645223,-73.98293,2014-10-18 21:00:14.103
7064,17297,Private room,Brooklyn,Williamsburg,7,5.0,2,1.0,185.0,2,40.712643,-73.958624,2014-10-18 23:49:28.714
7097,17571,Entire home/apt,Brooklyn,Fort Greene,65,5.0,2,1.0,221.0,2,40.691685,-73.971845,2014-10-19 11:17:03.252
7258,18729,Entire home/apt,Brooklyn,Gowanus,8,5.0,4,2.0,435.0,3,40.67666,-73.987536,2014-10-18 17:54:11.048
7385,19531,Entire home/apt,Manhattan,Midtown,8,5.0,3,1.0,290.0,2,40.752456,-73.966993,2014-10-19 14:06:10.686
7540,19969,Entire home/apt,Manhattan,SoHo,44,5.0,2,1.0,458.0,1,40.724282,-73.997793,2014-10-18 20:15:22.390
7626,20294,Entire home/apt,Manhattan,Midtown,3,5.0,2,1.0,290.0,3,40.751618,-73.982492,2014-10-19 12:46:12.239
7801,21207,Entire home/apt,Brooklyn,Williamsburg,10,5.0,4,2.0,319.0,3,40.718418,-73.957183,2014-10-18 20:42:26.677
7816,21286,Entire home/apt,Manhattan,Upper West Side,7,5.0,4,1.0,261.0,2,40.78819,-73.96822,2014-10-18 22:11:36.490
7966,4934,Entire home/apt,Brooklyn,Boerum Hill,31,4.5,2,1.0,174.0,5,40.685611,-73.986734,2014-10-18 12:14:36.754
7970,10496,Entire home/apt,Manhattan,Flatiron District,31,4.0,4,2.0,209.0,4,40.743003,-73.990652,2014-10-18 12:41:55.096
8024,22486,Private room,Brooklyn,Park Slope,65,4.5,10,1.0,151.0,1,40.680694,-73.977058,2014-10-18 17:43:11.691
8025,22486,Private room,Brooklyn,Park Slope,15,4.5,3,1.0,133.0,1,40.679895,-73.977976,2014-10-18 17:48:35.344
8110,22486,Private room,Brooklyn,Park Slope,34,4.5,2,1.0,151.0,1,40.680006,-73.978645,2014-10-19 10:19:58.684
8225,2758,Private room,Manhattan,Harlem,69,4.5,2,1.0,57.0,3,40.799034,-73.954063,2014-10-18 12:36:16.776
8258,23684,Entire home/apt,Manhattan,Upper West Side,1,5.0,6,2.0,312.0,4,40.799521,-73.969146,2014-10-18 15:46:31.943
8270,23843,Entire home/apt,Manhattan,Lower East Side,15,5.0,2,1.0,203.0,5,40.719984,-73.986623,2014-10-18 16:48:22.568
8343,24222,Entire home/apt,Manhattan,East Village,8,5.0,6,3.0,435.0,3,40.724808,-73.980565,2014-10-18 23:44:54.226
8477,25137,Entire home/apt,Manhattan,Chelsea,17,4.5,4,1.0,185.0,10,40.750104,-73.995775,2014-10-18 12:07:55.616
8490,25183,Entire home/apt,Brooklyn,Bedford-Stuyvesant,31,4.5,5,1.0,174.0,2,40.683711,-73.940278,2014-10-18 13:29:46.678
8875,27661,Entire home/apt,Manhattan,Greenwich Village,2,5.0,2,1.0,215.0,3,40.728484,-74.000343,2014-10-19 10:03:49.647
9042,28578,Private room,Brooklyn,Greenpoint,0,,2,1.0,70.0,2,40.736043,-73.956183,2014-10-18 17:10:07.473
9123,29096,Entire home/apt,Manhattan,East Village,137,5.0,2,1.0,157.0,3,40.72511,-73.984501,2014-10-19 09:21:40.784
9357,30193,Entire home/apt,Manhattan,Hell's Kitchen,40,4.5,2,1.0,174.0,3,40.767154,-73.985329,2014-10-18 22:41:19.356
9361,7351,Entire home/apt,Brooklyn,Clinton Hill,5,4.0,4,1.0,220.0,1,40.684029,-73.964379,2014-10-18 23:10:37.803
9465,30876,Entire home/apt,Manhattan,Central Park,0,,2,1.0,261.0,2,40.790862,-73.965035,2014-10-19 16:55:29.458
9529,30990,Entire home/apt,Manhattan,West Village,92,5.0,2,1.0,290.0,1,40.735818,-74.008837,2014-10-18 14:57:53.207
