room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,7,1.0,167.0,1,40.762099,-73.996022,2014-08-31 22:55:08.354
2515,2758,Private room,Manhattan,Harlem,102,4.5,2,1.0,66.0,2,40.799205,-73.953676,2014-09-01 02:40:26.770
2684,2965,Private room,Manhattan,Upper West Side,0,,2,1.0,134.0,1,40.792353,-73.967807,2014-08-31 23:37:21.967
2993,3352,Entire home/apt,Manhattan,Lower East Side,2,4.5,2,1.0,168.0,5,40.723593,-73.991188,2014-09-01 18:06:43.285
3330,4177,Private room,Brooklyn,Williamsburg,9,5.0,2,1.0,140.0,3,40.708558,-73.942362,2014-08-31 14:16:24.363
3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,43,4.5,3,1.0,100.0,1,40.6783,-73.944627,2014-08-31 22:50:05.159
3831,4869,Private room,Brooklyn,Clinton Hill,0,,3,1.0,112.0,1,40.685138,-73.959757,2014-09-01 03:50:24.742
4573,5871,Entire home/apt,Brooklyn,Crown Heights,4,4.5,6,2.0,202.0,3,40.674376,-73.93399,2014-09-01 02:59:41.291
4787,6459,Entire home/apt,Manhattan,West Village,2,4.5,5,2.0,263.0,1,40.734019,-74.000305,2014-09-01 18:11:00.179
5030,7201,Entire home/apt,Manhattan,Upper East Side,95,4.5,4,1.0,129.0,2,40.781098,-73.952188,2014-09-01 17:43:34.956
5044,7222,Entire home/apt,Manhattan,East Village,27,5.0,4,1.0,196.0,3,40.726353,-73.989371,2014-09-01 18:13:23.216
5079,7286,Entire home/apt,Manhattan,Harlem,157,5.0,4,2.0,258.0,3,40.813613,-73.945896,2014-09-01 19:28:14.464
5099,7322,Entire home/apt,Manhattan,Murray Hill,35,4.5,2,1.0,224.0,1,40.747714,-73.975149,2014-09-01 20:09:06.661
5107,7332,Entire home/apt,Brooklyn,Bedford-Stuyvesant,41,5.0,8,2.0,280.0,3,40.69299,-73.957232,2014-09-01 03:43:22.050
5110,7337,Entire home/apt,Manhattan,Lower East Side,29,4.5,2,1.0,193.0,3,40.713942,-73.981839,2014-09-01 20:57:46.960
5121,7356,Private room,Brooklyn,Bedford-Stuyvesant,37,4.5,2,1.0,56.0,2,40.686882,-73.955957,2014-08-31 14:13:06.297
5135,7380,Private room,Manhattan,Harlem,200,5.0,4,1.0,100.0,1,40.818028,-73.947449,2014-08-31 14:52:02.851
5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5.0,4,3.0,279.0,4,40.661197,-73.994227,2014-09-01 12:36:26.859
5172,7386,Entire home/apt,Manhattan,Murray Hill,41,4.5,2,1.0,145.0,5,40.744958,-73.974201,2014-09-01 13:47:38.345
5178,8967,Private room,Manhattan,Midtown,187,4.5,2,1.0,82.0,1,40.764681,-73.983154,2014-08-31 21:11:23.976
